"Annual_measure","SD_of_measure","Model_data","Use1_0","Chi","Name","Units","Description"
862.8115799,50,885.391972043246,1,0.101974821868554,"Obs_TAPP","mMN/m2/y","Annual_total_primary_production"
NA,NA,287.504871147137,0,NA,"Obs_NP","mMN/m2/y","Annual_new_production_from_depth_integrated_nitrate_plus_summer_river_and_atmos_inputs"
NA,NA,173.243316986734,0,NA,"Obs_KelpP","gC/m2/y","Annual_WITHIN_FOREST_NET_production_of_macrophytes"
NA,NA,406.929505695205,0,NA,"Obs_OmnizooP","mMN/m2/y","Annual_ominiv_zooplankton_gross_production"
NA,NA,27.9367398721912,0,NA,"Obs_CarnzooP","mMN/m2/y","Annual_carnivorous_zooplankton_gross_production"
NA,NA,6.6316247138831,0,NA,"Obs_PFishP","mMN/m2/y","Annual_planktivorous_fish_gross_production"
0.166312376,0.02,0.14602878742572,1,0.514279956813345,"Obs_DFishP","mMN/m2/y","Annual_demersal_fish_gross_production"
NA,NA,0.612138117140496,0,NA,"Obs_BensuspP","mMN/m2/y","Annual_susp/dep_benthos_gross_production"
NA,NA,0.00627649545337706,0,NA,"Obs_BencarnP","mMN/m2/y","Annual_carn/scan_benthos_gross_production"
0.000177597,0.000133198,8.31890964078117e-05,1,0.251183613791756,"Obs_birdP","mMN/m2/y","Annual_net_production_of_birds"
NA,NA,0,0,NA,"Obs_sealP","mMN/m2/y","Annual_net_production_of_pinnipeds"
0.001666879,0.001250159,0.000979487449368141,1,0.151163827518096,"Obs_cetaP","mMN/m2/y","Annual_net_production_of_cetaceans"
NA,NA,0.000462295231638097,0,NA,"Obs_maxbenthslar","mMN/m3","Annual_monthly_max_conc_of_benthos_susp/dep_larvae"
NA,NA,1.53760259755422e-07,0,NA,"Obs_maxbenthclar","mMN/m3","Annual_monthly_max_conc_of_benthos_carn/scav_larvae"
NA,NA,0.0759726655212036,0,NA,"Obs_Conpfishfish","mMN/m2/y","Annual_consumption_of_planktivorous_fish_by_fish"
NA,NA,0.00177568951287978,0,NA,"Obs_Condfishfish","mMN/m2/y","Annual_consumption_of_demersal_fish_by_fish"
