Gear_name,Gear_code,Power_PF,Power_DF,Power_MF,Power_FDB,Power_CSB,Power_CZ,Power_BD,Power_SL,Power_CT,Power_KP
Pole_and_line,PL,0,0,14.64099628,0,0,0,0,0,0,0
Longlines,LL,0,0,16.9213947,0,0,0,0.01553036,0,0,0
Illegal_longlines,ILL,0,0,0,0,0,0,0,0,0,0
Hand_lines,HL,0,5.49242021,2.39219573,0,0,0,0.04441291,0,0,0
Handlines_and_dip-nets_(bait),HD,7.39292542,0,0,0,0,0,0,0,0,0
Illegal_purse_seine,IPS,0,0,0,0,0,0,0,0,0,0
Pots_and_hand_gathering,PH,0,0,0,0,0.2232679,0,0,0,0,0
NA,NA,0,0,0,0,0,0,0,0,0,0
NA,NA,0,0,0,0,0,0,0,0,0,0
NA,NA,0,0,0,0,0,0,0,0,0,0
NA,NA,0,0,0,0,0,0,0,0,0,0
NA,NA,0,0,0,0,0,0,0,0,0,0
