consumer,Cumax,Cddexud,Numax,Nhsat,BdeApar,ddmort,migration_coef,max_exploitable_f
kelp,0.025839956,1.81E-08,0.009190877,18.271599,NA,0.000000031,NA,0.04138815
phyt_s,NA,NA,2.5,4.301524543,NA,0.154252692,NA,NA
phyt_d,NA,NA,NA,NA,NA,0.063279587,NA,NA
omnivzoo,NA,NA,2.155825105,3.389976957,NA,0.0000335,NA,NA
carnzoo,NA,NA,0.154001331,1.086466303,NA,0.000209028,NA,0.003570746
fishplar,NA,NA,0.314745919,6.407719589,NA,0.0000041,NA,NA
fishdlar,NA,NA,0.232686522,2.035724869,NA,0.000000579,NA,NA
fishp,NA,NA,0.133555539,2.126507551,NA,0.00006,0.001579128,0.874288045
fishm,NA,NA,0.033269032,2.263950969,NA,0.00000169,3.54E-05,0.684448782
fishd,NA,NA,0.010948049,0.525789503,NA,0.00003,0.002204908,0.899809419
benthslar,NA,NA,0.334369632,1.032842052,NA,0.00000963,NA,NA
benthclar,NA,NA,0.992552965,2.370807592,NA,0.000000254,NA,NA
benths,NA,NA,0.909766503,1.722305642,NA,0.000117413,NA,0.030433928
benthc,NA,NA,0.026744952,9.016017057,NA,0.000147912,NA,0.154553198
bird,NA,NA,0.25,0.5,4553.17928,8.00E-03,9.98E-09,0.1000944
seal,NA,NA,0.430476354,1.668543654,2113.567153,0.005090688,0.009837035,0.099357706
ceta,NA,NA,0.05,0.519155306,895.342248,0.01,9.98E-09,0.313324987
