Group,Regional_harvest_ratio,Comments
Planktivorous_fish,0,Unknown_for_Saint_Helena
Demersal_fish,0.000000373,Saint_Helena_estimate_based_on_catch_per_assumed_biomass
Migratory_fish,0.0000406,Saint_Helena_estimate_based_on_catch_per_assumed_biomass
Benthos_susp-dep,0,Unknown_for_Saint_Helena
Benthos_carn-scav,0,Unknown_for_Saint_Helena
Zooplankton_carn,0,Unknown_for_Saint_Helena
Birds,0.0000132,Saint_Helena_Rough_estimate_for_harvest_ratio_from_synthesis_of_bycatch_data
Pinnipeds,0,Unknown_for_Saint_Helena
Cetaceans,0,Unknown_for_Saint_Helena
Macrophytes,0,Unknown_for_Saint_Helena
