"Month","SO_nitrate","SO_ammonia","SO_phyt","SO_detritus","D_nitrate","D_ammonia","D_phyt","D_detritus","SI_nitrate","SI_ammonia","SI_phyt","SI_detritus","RIV_nitrate","RIV_ammonia","RIV_detritus","SO_ATM_nitrate_flux","SO_ATM_ammonia_flux","SI_ATM_nitrate_flux","SI_ATM_ammonia_flux","SI_other_nitrate_flux","SI_other_ammonia_flux","SO_other_nitrate_flux","SO_other_ammonia_flux","DO_nitrate","DO_ammonia","DO_detritus"
1,0.200632722561243,0.182784685662895,0.238215886542815,0.320787923198592,21.789126958795,0.166238566262424,0.0151781759265946,0.205012796806572,0.053735967,0.023119779,0.184289122,0.035783731,10,1,0,0.00346369069275631,0.00231549503766687,0.00330875600872707,0.00217493725693806,0,0,0,0,33.3632254580875,0.107109885903172,0.0910118978122307
2,0.145419819064481,0.174472066194652,0.173563189706347,0.222741120109441,21.5550983698259,0.164730294058709,0.0206474247343598,0.183897614863379,0.051336435,0.022087385,0.174679211,0.029047065,10,1,0,0.00359392104861946,0.00282883070824084,0.00374013440611226,0.00276825376665043,0,0,0,0,33.326609868525,0.111901004836409,0.0942838126688779
3,0.146795342178916,0.164035952185991,0.144009833162822,0.147927873567455,21.7277506142237,0.166997245076939,0.0205452536590114,0.173111613586468,0.040407985,0.017385445,0.153083997,0.021262489,10,1,0,0.00387120866946327,0.00300504662062166,0.00364351068078304,0.00300961023535631,0,0,0,0,33.4461145812417,0.11283336375484,0.0683050644799702
4,0.1754772181638,0.15733013260937,0.13935763147226,0.0922233435245215,22.1621929199127,0.165647856124016,0.0160444604097422,0.151751438967066,0.044963007,0.019345232,0.158259256,0.022001803,10,1,0,0.00339961660626743,0.00306534591973537,0.00328700487790186,0.00294172047038696,0,0,0,0,33.4831136152819,0.111859577910075,0.052151657753753
5,0.170008919616854,0.147719521146071,0.142267825934925,0.0825500273766688,22.0387634412875,0.162664671461281,0.0100408193630324,0.124675918802544,0.064500417,0.027751159,0.167445626,0.024814096,10,1,0,0.00298957336127483,0.00254229485799777,0.00304683001093944,0.00242067640164464,0,0,0,0,33.4918092549968,0.110761768666496,0.0517278682316977
6,0.179465455103267,0.147466315539493,0.18116515057375,0.130656210571079,21.5046023029537,0.158517667096119,0.00651157518639248,0.102366901535087,0.083767099,0.036040605,0.173742496,0.030669211,10,1,0,0.00535095440379034,0.00376724735057602,0.00599693554076588,0.00376459674000563,0,0,0,0,33.4366083225857,0.111722466932422,0.0462928814574501
7,0.338457661458877,0.181256990448285,0.283298258305948,0.226963860920953,21.4597002370272,0.156385197585521,0.0133736389975123,0.09392477325138,0.038756853,0.016675049,0.165128371,0.03202102,10,1,0,0.00790960484287328,0.00477926373752134,0.00912764848398757,0.00496811591826963,0,0,0,0,33.3502979002251,0.111377010287585,0.0307288603275222
8,0.684950217531064,0.233604427636918,0.394776545902614,0.34385217354684,21.1707896075201,0.159239627114786,0.0286107819632737,0.103518606835373,0.040334021,0.017353622,0.168140681,0.034361279,10,1,0,0.00481804734104515,0.00255053765290687,0.00415497109688784,0.00230199476319885,0,0,0,0,33.3154906917833,0.109697927686487,0.0173731475531304
9,0.857905571541199,0.258151128706205,0.436438940554521,0.423409426488001,21.0739594771014,0.166420550254976,0.0361351131974757,0.128615370817141,0.061756357,0.026570533,0.212286047,0.058975787,10,1,0,0.00468328173848845,0.00226367806871643,0.0040809838433883,0.00207175655911366,0,0,0,0,33.2587537503209,0.107648165120399,0.0100475209718015
10,0.807834218432375,0.275987256356569,0.450936895347025,0.520422956377431,21.0083852121935,0.171904928574213,0.0263017042190967,0.171702447297964,0.084646698,0.036419051,0.230549811,0.068589436,10,1,0,0.00308151627796346,0.00191373394615519,0.00265255498792118,0.00185230834042645,0,0,0,0,33.291419098736,0.104866886718489,0.00992856557972179
11,0.476448207947293,0.271301612344613,0.378983201451414,0.620653080520507,21.5320605023782,0.168475411743453,0.00753027316755865,0.222946671987769,0.089083108,0.038327806,0.215059782,0.051712557,10,1,0,0.00286707039257245,0.0018439244706228,0.0024200043463636,0.00182760322266924,0,0,0,0,33.2896104637456,0.103409372911143,0.0246256006093725
12,0.294385686693832,0.211425352111608,0.256027654017492,0.478628963492652,21.8055469877327,0.167288924146032,0.00814480484126122,0.233476561015855,0.097573262,0.041980676,0.213935347,0.048836306,10,1,0,0.00368696852042104,0.0019449312540312,0.00341007140495123,0.00192453773061354,0,0,0,0,33.3687506950802,0.103127186946737,0.0548925081970012
