"Month","SLight","SO_LogeSPM","SI_LogeSPM","SO_temp","D_temp","SI_temp","Rivervol_SI","log10Kvert","mixLscale","D_SO_upwelling","SO_D_downwelling","SO_OceanIN","D_OceanIN","SI_OceanIN","SI_OceanOUT","SO_SI_flow","habS1_pdist","habS2_pdist","habS3_pdist","habD1_pdist","habD2_pdist","habD3_pdist","Inshore_waveheight","DO_log10Kvert","DO_mixLscale","DO_D_upwelling","D_DO_downwelling"
1,52.6116154707409,6.12607585641253,6.12180476584908,24.1802965235963,12.0447701009012,24.098790888467,3.00442070578968e-09,-4.90770453436465,0.1,0,0,0.0490362976892206,0.0029889942721178,0,0,0.00506556199046575,0.002720237,0.002720237,0.002720237,2.456804e-54,2.456804e-54,2.456804e-54,1.671322453022,-4.9152933407984,0.9,0.00791080154089932,0.00552880928348133
2,50.6125869740763,6.08632251104176,6.09392205561508,25.0614387135016,11.9765691011617,24.9656840423584,3.83401369534675e-09,-4.9212121563109,0.1,0,0,0.0394580709460503,0.00255943646540216,0,0,0.00435715278130176,0.002720237,0.002720237,0.002720237,2.456804e-54,2.456804e-54,2.456804e-54,1.69631284475327,-4.91538373423017,0.9,0.00665109397870871,0.00493225975390755
3,45.2638954066845,6.11836462923879,6.15040577676324,25.6900437002638,11.9160959226482,25.5894723150784,4.81772851932434e-09,-4.92461381338268,0.1,0,0,0.0483348041640137,0.00281932867548121,0,0,0.00643337533356921,0.002720237,0.002720237,0.002720237,2.456804e-54,2.456804e-54,2.456804e-54,1.81574636697769,-4.91542914511403,0.9,0.00813679195897502,0.00663838189488465
4,40.0495461421815,6.07498318365832,6.07263184526945,25.8666657641308,11.8951240102947,25.8736845232574,3.54670056570912e-09,-4.92759858358056,0.2,0,0,0.0522686298369647,0.0026304807647477,0,0,0.006699964656161,0.002720237,0.002720237,0.002720237,2.456804e-54,2.456804e-54,2.456804e-54,1.95600188970566,-4.91535544240885,0.9,0.00736010535863238,0.00776196788947623
5,34.6166781110701,6.04700435727103,6.04404352465063,25.3382612877091,11.9517193220711,25.309222688526,3.05769726850767e-09,-3.58929685098601,0.6,0,0,0.0591062411051241,0.00262533174510734,0,0,0.00767973326881226,0.002720237,0.002720237,0.002720237,2.456804e-54,2.456804e-54,2.456804e-54,1.95679607391357,-4.91520412689808,0.9,0.00753136112296474,0.00896058754966233
6,31.0187110125093,6.04502808628857,6.08744370764025,24.1181234249805,12.0303873796165,24.0508251327837,4.2107555083421e-09,-2.82283325280681,0.8,0,0,0.0579420571089933,0.00264333567444316,0,0,0.00821298715561424,0.002720237,0.002720237,0.002720237,2.456804e-54,2.456804e-54,2.456804e-54,2.21387734413147,-4.91516129826941,0.9,0.00698857676892239,0.00885118429361805
7,32.0324532909627,6.05614415985416,6.06921576208563,22.8227912911609,12.0945170029633,22.6914748279507,3.73507135475641e-09,-2.49260664470183,0.8,0,0,0.0562182851167985,0.00260054738011249,0,0,0.00743221227550297,0.002720237,0.002720237,0.002720237,2.456804e-54,2.456804e-54,2.456804e-54,2.2203941822052,-4.91515342016211,0.9,0.00751777773311938,0.00881685013824954
8,36.6269480979267,6.09607101854591,6.15031268373185,21.9054859851836,12.1527741505591,21.6762598808389,3.12048748845829e-09,-2.30284151703413,0.8,0,0,0.0588390034245045,0.00286998496952863,0,0,0.00710378974895275,0.002720237,0.002720237,0.002720237,2.456804e-54,2.456804e-54,2.456804e-54,2.26841967105865,-4.91514126146166,0.9,0.00780922963360892,0.00932674981927926
9,42.9184349016274,6.07415373437847,6.19396429383557,21.4677369521109,12.2030140755693,21.2414798647247,3.24797095343202e-09,-2.25267111547789,0.8,0,0,0.0595712592124032,0.00285880508049312,0,0,0.00732480025423932,0.002720237,0.002720237,0.002720237,2.456804e-54,2.456804e-54,2.456804e-54,2.23313102722168,-4.91519525457019,0.9,0.00835196101868234,0.00898209588870563
10,48.1565991444193,6.2290484725411,6.20611269444942,21.7507219833264,12.2177168759234,21.5614325339751,2.75516225206272e-09,-2.90205700468291,0.6,0,0,0.0561768626947047,0.00317172754828065,0,0,0.00678587729638613,0.002720237,0.002720237,0.002720237,2.456804e-54,2.456804e-54,2.456804e-54,2.0393740773201,-4.91529078759356,0.9,0.00876050664942998,0.00860894410373903
11,50.6943613952806,6.35103982351332,6.39888988271425,22.399202369102,12.1942825835252,22.2620002730308,2.50970929646392e-09,-3.33029462350117,0.2,0,0,0.0564595087226437,0.00334126072199092,0,0,0.00614302816463099,0.002720237,0.002720237,0.002720237,2.456804e-54,2.456804e-54,2.456804e-54,1.89769370555878,-4.9153468014528,0.9,0.00844186827960334,0.00688221678073137
12,52.253504825534,6.26490198857165,6.38168609356873,23.248862409081,12.1299128023126,23.177707059834,2.66953903159805e-09,-4.34104150270256,0.1,0,0,0.0522254623323955,0.00307995240319333,0,0,0.00525675741541723,0.002720237,0.002720237,0.002720237,2.456804e-54,2.456804e-54,2.456804e-54,1.71475962400436,-4.91535658506426,0.9,0.00748527335977757,0.00567127779680436
