"Month","SLight","SO_LogeSPM","SI_LogeSPM","SO_temp","D_temp","SI_temp","Rivervol_SI","log10Kvert","mixLscale","D_SO_upwelling","SO_D_downwelling","SO_OceanIN","D_OceanIN","SI_OceanIN","SI_OceanOUT","SO_SI_flow","habS1_pdist","habS2_pdist","habS3_pdist","habD1_pdist","habD2_pdist","habD3_pdist","Inshore_waveheight","DO_log10Kvert","DO_mixLscale","DO_D_upwelling","D_DO_downwelling"
1,51.4720896368456,6.12607585641253,6.12180476584908,23.1048810485337,10.7070828809652,23.0094759816251,3.00442070578968e-09,-4.89666118232788,0.1,0,0,0.0434994098817222,0.00269533331503881,0,0,0.00554399189661962,0.002720237,0.002720237,0.002720237,2.456804e-54,2.456804e-54,2.456804e-54,1.671322453022,-4.91568961043185,0.9,0.00702178296025944,0.00470091795523271
2,51.9699124066682,6.08632251104176,6.09392205561508,23.9897108097376,10.6476696144289,23.8651218549557,3.83401369534675e-09,-4.91569349431655,0.1,0,0,0.033306987381264,0.00196459581861516,0,0,0.00393497554652135,0.002720237,0.002720237,0.002720237,2.456804e-54,2.456804e-54,2.456804e-54,1.69631284475327,-4.9157934434683,0.9,0.0049066774817208,0.00418079552904685
3,46.3294441261747,6.11836462923879,6.15040577676324,24.6067459076,10.602045390763,24.4765756499139,4.81772851932434e-09,-4.92300848640337,0.1,0,0,0.0414537748908919,0.00248794714691048,0,0,0.00519957991415775,0.002720237,0.002720237,0.002720237,2.456804e-54,2.456804e-54,2.456804e-54,1.81574636697769,-4.91592562972538,0.9,0.00578480664808411,0.00502188332506754
4,37.5840465950882,6.07498318365832,6.07263184526945,24.8659266279089,10.5817684582082,24.5975053554466,3.54670056570912e-09,-4.92642425254249,0.2,0,0,0.0481632278165965,0.00254000891303842,0,0,0.00658497574570915,0.002720237,0.002720237,0.002720237,2.456804e-54,2.456804e-54,2.456804e-54,1.95600188970566,-4.91607022490498,0.9,0.00555916171414723,0.00558646099928153
5,31.018167806598,6.04700435727103,6.04404352465063,24.5077910221878,10.6092865591653,24.2707413183721,3.05769726850767e-09,-4.33427677777421,0.6,0,0,0.0468686074506952,0.00243057495042873,0,0,0.00687338501634707,0.002720237,0.002720237,0.002720237,2.456804e-54,2.456804e-54,2.456804e-54,1.95679607391357,-4.91611706858672,0.9,0.00589632118856626,0.0072074699784033
6,25.7736997619171,6.04502808628857,6.08744370764025,23.5327447980592,10.6686152716777,23.3874091170441,4.2107555083421e-09,-3.08955049418203,0.8,0,0,0.0495646248138531,0.00256553802248697,0,0,0.00612190314236172,0.002720237,0.002720237,0.002720237,2.456804e-54,2.456804e-54,2.456804e-54,2.21387734413147,-4.91610404880224,0.9,0.00673044033514735,0.00810121838039119
7,24.8673433630981,6.05614415985416,6.06921576208563,22.2230411605052,10.7472759569337,22.0858681271461,3.73507135475641e-09,-2.32836770017837,0.8,0,0,0.0620852205800847,0.00247100235316343,0,0,0.00666339798544905,0.002720237,0.002720237,0.002720237,2.456804e-54,2.456804e-54,2.456804e-54,2.2203941822052,-4.91610659196772,0.9,0.0065164288452503,0.0081642627130375
8,27.5892531823046,6.09607101854591,6.15031268373185,21.2529812711564,10.8075556605953,21.1302930305667,3.12048748845829e-09,-1.62753353354112,0.8,0,0,0.0559385110618924,0.00231346880192322,0,0,0.00608726841823721,0.002720237,0.002720237,0.002720237,2.456804e-54,2.456804e-54,2.456804e-54,2.26841967105865,-4.91612786280195,0.9,0.00680756195420353,0.00776684947927808
9,32.2404337137744,6.07415373437847,6.19396429383557,20.744056649531,10.8390839663066,20.5359486421149,3.24797095343202e-09,-2.22801235957402,0.8,0,0,0.060450091272367,0.00238492612421316,0,0,0.00634853133015255,0.002720237,0.002720237,0.002720237,2.456804e-54,2.456804e-54,2.456804e-54,2.23313102722168,-4.91621406084203,0.9,0.0067008914973925,0.00755721538308482
10,37.8071397471081,6.2290484725411,6.20611269444942,20.7219843913557,10.8650263718374,20.5205262917225,2.75516225206272e-09,-2.52506660180096,0.6,0,0,0.0556499000831896,0.00247009870968299,0,0,0.00578706420830003,0.002720237,0.002720237,0.002720237,2.456804e-54,2.456804e-54,2.456804e-54,2.0393740773201,-4.91622472971948,0.9,0.00666863413678123,0.00661916315492684
11,41.9510131899016,6.35103982351332,6.39888988271425,21.2392452161906,10.8405046728634,21.1711674149138,2.50970929646392e-09,-3.19839047212296,0.2,0,0,0.0458020161216337,0.00250916470961121,0,0,0.00463993392538863,0.002720237,0.002720237,0.002720237,2.456804e-54,2.456804e-54,2.456804e-54,1.89769370555878,-4.91621333392106,0.9,0.00737998060309333,0.00495803925706039
12,47.8756425097377,6.26490198857165,6.38168609356873,22.1401706648633,10.7702150737319,22.0982875650451,2.66953903159805e-09,-4.83913823950524,0.1,0,0,0.0449888273683933,0.00261594050072053,0,0,0.00483881749309897,0.002720237,0.002720237,0.002720237,2.456804e-54,2.456804e-54,2.456804e-54,1.71475962400436,-4.91625696576232,0.9,0.00756466055012444,0.00457486861567859
