"Month","SLight","SO_LogeSPM","SI_LogeSPM","SO_temp","D_temp","SI_temp","Rivervol_SI","log10Kvert","mixLscale","D_SO_upwelling","SO_D_downwelling","SO_OceanIN","D_OceanIN","SI_OceanIN","SI_OceanOUT","SO_SI_flow","habS1_pdist","habS2_pdist","habS3_pdist","habD1_pdist","habD2_pdist","habD3_pdist","Inshore_waveheight","DO_log10Kvert","DO_mixLscale","DO_D_upwelling","D_DO_downwelling"
1,53.1190355714064,6.12607585641253,6.12180476584908,23.7996941269191,11.4658873706407,23.6883646384913,4.22791269138928e-09,-4.91357024398188,0.1,0.00268981027536821,0.000311666077550777,0.000177572912192607,8.12858384746383e-05,0,0,0.000725575824450938,0.01292325,0.01292325,0.01292325,9.47635e-08,9.47635e-08,9.47635e-08,1.671322453022,-4.90824209941405,0.9,0.000899049446690246,0.000766110461577854
2,51.053168015426,6.08632251104176,6.09392205561508,24.5750066777062,11.3996858437182,24.5636543125383,5.39534131497615e-09,-4.92299768651952,0.1,0.00284886388090514,0.000322759566050646,0.00018094500081738,9.14865641400263e-05,0,0,0.000657327207025822,0.01292325,0.01292325,0.01292325,9.47635e-08,9.47635e-08,9.47635e-08,1.69631284475327,-4.90852934088821,0.9,0.000874852673117075,0.000705106918203702
3,45.6588459832311,6.11836462923879,6.15040577676324,25.1725104322179,11.3412605171019,25.2339636400118,6.77965489695482e-09,-4.92670241607921,0.1,0.00302960734356033,0.000371870546372359,0.000198754515601002,8.75308112448947e-05,0,0,0.000750961687950109,0.01292325,0.01292325,0.01292325,9.47635e-08,9.47635e-08,9.47635e-08,1.81574636697769,-4.90880808971684,0.9,0.000868641239247561,0.000755641653423958
4,40.4737117872323,6.07498318365832,6.07263184526945,25.35590883118,11.3297738949818,25.3865550203187,4.99102549300858e-09,-4.87170131355383,0.2,0.00266653309908312,0.000475438165094424,0.000216804988308616,7.76910904298484e-05,0,0,0.000825752235615339,0.01292325,0.01292325,0.01292325,9.47635e-08,9.47635e-08,9.47635e-08,1.95600188970566,-4.90879721050644,0.9,0.000875429236879867,0.00094473664664399
5,34.9823090344025,6.04700435727103,6.04404352465063,24.854678993037,11.3639666263483,24.85270457987,4.3028850996259e-09,-3.5155533561078,0.6,0.0029787046319742,0.000505939399442141,0.000187138144453156,7.5197133568995e-05,0,0,0.000732733485745565,0.01292325,0.01292325,0.01292325,9.47635e-08,9.47635e-08,9.47635e-08,1.95679607391357,-4.90866901681087,0.9,0.00104220167592116,0.00111942680409456
6,31.2832746621592,6.04502808628857,6.08744370764025,23.75306086322,11.4374096626837,23.6426601276044,5.92550391486456e-09,-2.69194804487644,0.8,0.00288853407788707,0.000581723129493759,0.000201008049759814,6.81538635651471e-05,0,0,0.000736923938910777,0.01292325,0.01292325,0.01292325,9.47635e-08,9.47635e-08,9.47635e-08,2.21387734413147,-4.90854573518809,0.9,0.00111481413978647,0.00119927100853968
7,32.0501785680253,6.05614415985416,6.06921576208563,22.5465012683445,11.5165193614454,22.3879180752188,5.25610662767302e-09,-2.35037379651545,0.8,0.00284258062184375,0.000664381679260796,0.000206653458398411,6.97896170874922e-05,0,0,0.000801638301716135,0.01292325,0.01292325,0.01292325,9.47635e-08,9.47635e-08,9.47635e-08,2.2203941822052,-4.90844067260097,0.9,0.00103897244937495,0.00119177348598388
8,37.0006419747523,6.09607101854591,6.15031268373185,21.6441129910153,11.5956466273628,21.4333229614832,4.39124541724479e-09,-2.43277921114636,0.8,0.00397784763551042,0.000791500429120611,0.000207941144934209,7.30771044835952e-05,0,0,0.000919831162291893,0.01292325,0.01292325,0.01292325,9.47635e-08,9.47635e-08,9.47635e-08,2.26841967105865,-4.90834416135015,0.9,0.00105996987060412,0.00113162680797395
9,42.7842136765288,6.07415373437847,6.19396429383557,21.2047507219348,11.6341333533756,21.0692962150829,4.57064404755847e-09,-2.2029971961681,0.8,0.00417196615422955,0.000782460879256664,0.000214490091172642,7.36317687082333e-05,0,0,0.000844246185142282,0.01292325,0.01292325,0.01292325,9.47635e-08,9.47635e-08,9.47635e-08,2.23313102722168,-4.90833023422569,0.9,0.0010806777986332,0.00110865450767618
10,48.5593968752694,6.2290484725411,6.20611269444942,21.2782513306279,11.6536342549801,21.0924003899399,3.87714857306275e-09,-2.36330212678191,0.6,0.00366471250237573,0.000655440279028696,0.000201413232170578,7.27663501450229e-05,0,0,0.000821095986871065,0.01292325,0.01292325,0.01292325,9.47635e-08,9.47635e-08,9.47635e-08,2.0393740773201,-4.90842961107615,0.9,0.00103852330540605,0.00101919602999799
11,50.9685035779996,6.35103982351332,6.39888988271425,21.9204437574877,11.6363625768323,21.7985389475671,3.53173966807306e-09,-3.27940793875224,0.2,0.00331175326952402,0.000494456565980046,0.000186185600586812,7.72014189533697e-05,0,0,0.000775382318556158,0.01292325,0.01292325,0.01292325,9.47635e-08,9.47635e-08,9.47635e-08,1.89769370555878,-4.90858349785952,0.9,0.00103192011703872,0.00095451534721575
12,52.0488115710208,6.26490198857165,6.38168609356873,22.8480761709679,11.5786148082114,22.7000602041698,3.75665695889482e-09,-4.8761980064641,0.1,0.00312124816419955,0.000389143785580819,0.000179622976550399,7.7585902090917e-05,0,0,0.000774459973931386,0.01292325,0.01292325,0.01292325,9.47635e-08,9.47635e-08,9.47635e-08,1.71475962400436,-4.90870207200226,0.9,0.000889719927939347,0.000785427296737581
