"Month","SO_nitrate","SO_ammonia","SO_phyt","SO_detritus","D_nitrate","D_ammonia","D_phyt","D_detritus","SI_nitrate","SI_ammonia","SI_phyt","SI_detritus","RIV_nitrate","RIV_ammonia","RIV_detritus","SO_ATM_nitrate_flux","SO_ATM_ammonia_flux","SI_ATM_nitrate_flux","SI_ATM_ammonia_flux","SI_other_nitrate_flux","SI_other_ammonia_flux","SO_other_nitrate_flux","SO_other_ammonia_flux","DO_nitrate","DO_ammonia","DO_detritus"
1,0.138255118738873,0.171600646254855,0.202997972864397,0.326902714226545,21.8432728071931,0.167852298450307,0.0157670918736941,0.21569290978719,0.053735967,0.023119779,0.184289122,0.035783731,10,1,0,0.00318598044040497,0.00219790656323446,0.00316164507809597,0.00213454924105379,0,0,0,0,33.4211445314615,0.106522473660214,0.0875340425630021
2,0.108049101905239,0.16622750774579,0.157953475371934,0.228121348561231,21.8678744313867,0.167676437577347,0.0214869976883949,0.194244119864774,0.051336435,0.022087385,0.174679211,0.029047065,10,1,0,0.003345977876435,0.00294013507844438,0.00357640935575857,0.00284996894677317,0,0,0,0,33.427719242875,0.11080264073679,0.0924714463762178
3,0.114142732647302,0.155498790170554,0.126000581376803,0.148692533614063,22.2247496819978,0.167781805897516,0.0209604432119607,0.171918663367858,0.040407985,0.017385445,0.153083997,0.021262489,10,1,0,0.00362327348651184,0.00274577644795248,0.00351195326632893,0.00271727239781742,0,0,0,0,33.4745518230411,0.113297949148263,0.0734552551913788
4,0.116233273618572,0.145043517696811,0.116174355792258,0.0952184555115374,22.1275977849316,0.166695721013857,0.0162809778628141,0.150598975883158,0.044963007,0.019345232,0.158259256,0.022001803,10,1,0,0.00315184286418593,0.0030019975383766,0.00295258493029646,0.00294927233231387,0,0,0,0,33.5508777678936,0.112814026369585,0.052523482803584
5,0.129559212428435,0.138344917504919,0.12845051454687,0.0927044208628015,21.9682283778315,0.165655420173391,0.00940757439874791,0.128702724687394,0.064500417,0.027751159,0.167445626,0.024814096,10,1,0,0.0027143755205585,0.00234503527804952,0.00286123072642678,0.00232401963007907,0,0,0,0,33.5857063240651,0.110356263985044,0.0463412306243471
6,0.17288485445567,0.148437433214842,0.190728172599658,0.172243306563108,21.9197660048253,0.159375581845008,0.00625356602090878,0.103890412565857,0.083767099,0.036040605,0.173742496,0.030669211,10,1,0,0.00473629151071821,0.00299064407867956,0.00478182633828727,0.00290059415246582,0,0,0,0,33.4708081007747,0.110257523092095,0.0398766658028989
7,0.370270469117301,0.186982196942295,0.290849416435493,0.247903803960281,21.8629772102875,0.157169534521284,0.0139987377917618,0.0966044674396048,0.038756853,0.016675049,0.165128371,0.03202102,10,1,0,0.00627518755980351,0.00376300663635787,0.0073081789342987,0.00405951769494619,0,0,0,0,33.4737435337202,0.10934674642476,0.0263852375856999
8,0.697650387904453,0.231895981766778,0.405127431995429,0.331154282711259,21.8609374343838,0.161411594645277,0.0321684257055874,0.110419550253906,0.040334021,0.017353622,0.168140681,0.034361279,10,1,0,0.00441621308760022,0.00246466586231104,0.00417509949379837,0.00240687963022735,0,0,0,0,33.3652352941923,0.108088431537311,0.0141474899273146
9,0.90693931023503,0.264344237155889,0.454475401344777,0.432603454172646,21.6106691620503,0.17110658406661,0.0421978312382008,0.140809610451016,0.061756357,0.026570533,0.212286047,0.058975787,10,1,0,0.00506592628967372,0.0021392169236649,0.00424180853380156,0.00195392720689554,0,0,0,0,33.3615126872627,0.106049483902049,0.00939296708101632
10,0.752442048723551,0.282626386869385,0.472699143409661,0.568275607756771,21.5662947532456,0.175811824596076,0.0313993799647568,0.184144295235274,0.084646698,0.036419051,0.230549811,0.068589436,10,1,0,0.00246215570387581,0.00187640975890381,0.00228077009071334,0.00187823911570871,0,0,0,0,33.3503400081971,0.103560263299679,0.0125584207741444
11,0.364662460840551,0.254620206101815,0.35896618555139,0.60428581796212,21.7955444941184,0.172608448537251,0.010027872653969,0.232949707470029,0.089083108,0.038327806,0.215059782,0.051712557,10,1,0,0.00297242706264591,0.00170068331672588,0.00257920820288183,0.00165868503418529,0,0,0,0,33.4340524223483,0.101713632579674,0.0246690465293083
12,0.228659202222142,0.197783992946865,0.23422610894112,0.461237546927233,21.9330168308791,0.170081221327257,0.00791431429823682,0.247121719633367,0.097573262,0.041980676,0.213935347,0.048836306,10,1,0,0.00349819474566024,0.00192615571582029,0.00339147773215092,0.00190598320715936,0,0,0,0,33.4370723269791,0.102887520586038,0.0554664739990013
