"Month","SLight","SO_LogeSPM","SI_LogeSPM","SO_temp","D_temp","SI_temp","Rivervol_SI","log10Kvert","mixLscale","D_SO_upwelling","SO_D_downwelling","SO_OceanIN","D_OceanIN","SI_OceanIN","SI_OceanOUT","SO_SI_flow","habS1_pdist","habS2_pdist","habS3_pdist","habD1_pdist","habD2_pdist","habD3_pdist","Inshore_waveheight","DO_log10Kvert","DO_mixLscale","DO_D_upwelling","D_DO_downwelling"
1,51.9014776526723,6.12607585641253,6.12180476584908,23.2176351111234,10.5734361213862,23.0991298337671,4.22791269138928e-09,-6.89495190212355,0.1,0.00121964776236932,0.000240574424435873,0.000147493932017368,6.77560134850431e-05,0,0,0.000629579776156563,0.01292325,0.01292325,0.01292325,9.47635e-08,9.47635e-08,9.47635e-08,1.671322453022,-4.89870756074875,0.9,0.000722477185047158,0.000589407265309204
2,51.643619096917,6.08632251104176,6.09392205561508,24.056073556628,10.5175369919192,23.9994896431623,5.39534131497615e-09,-6.91487708166714,0.1,0.00125705743628861,0.000226379224427509,0.000146554495536756,6.96353574314155e-05,0,0,0.000718005781034055,0.01292325,0.01292325,0.01292325,9.47635e-08,9.47635e-08,9.47635e-08,1.69631284475327,-4.89910102632877,0.9,0.000692710962077782,0.000577958493932721
3,46.2370536776172,6.11836462923879,6.15040577676324,24.6644457980405,10.4695101904089,24.5966794626604,6.77965489695482e-09,-6.92373875591858,0.1,0.00112115575204214,0.000264165426373289,0.000161043835017685,7.32292083048064e-05,0,0,0.00073767706611257,0.01292325,0.01292325,0.01292325,9.47635e-08,9.47635e-08,9.47635e-08,1.81574636697769,-4.89949369873271,0.9,0.000659257151853074,0.000600209024215404
4,38.0993296698446,6.07498318365832,6.07263184526945,24.8297229572321,10.4552497437721,24.7549979111892,4.99102549300858e-09,-6.92434126808772,0.2,0.00117488176617142,0.000321755855639944,0.000170890814948973,7.67347004284438e-05,0,0,0.000765015304697035,0.01292325,0.01292325,0.01292325,9.47635e-08,9.47635e-08,9.47635e-08,1.95600188970566,-4.89979929206335,0.9,0.000693077528885537,0.00068236654194077
5,29.6390399163465,6.04700435727103,6.04404352465063,24.2431313782203,10.4791253488229,24.105142585289,4.3028850996259e-09,-5.87793831293183,0.6,0.00121798721319502,0.000391229230723177,0.000179502407464267,6.97393216171331e-05,0,0,0.00093982133193615,0.01292325,0.01292325,0.01292325,9.47635e-08,9.47635e-08,9.47635e-08,1.95679607391357,-4.89983448719684,0.9,0.000787781624628503,0.000771539534578693
6,25.3174271466174,6.04502808628857,6.08744370764025,23.2466111793214,10.5280870383196,23.0893631890667,5.92550391486456e-09,-4.95637422956958,0.8,0.00137659970333113,0.000523517453619311,0.000171088322879867,6.72994935302295e-05,0,0,0.000987343476837793,0.01292325,0.01292325,0.01292325,9.47635e-08,9.47635e-08,9.47635e-08,2.21387734413147,-4.89969256014544,0.9,0.000873461690033113,0.000951721679585225
7,24.9883611020136,6.05614415985416,6.06921576208563,22.1130218815974,10.6129872871098,21.9702524626704,5.25610662767302e-09,-4.12136357764674,0.8,0.00151842594446929,0.000660911286669195,0.000193815339868222,7.12901218251877e-05,0,0,0.00104649445313358,0.01292325,0.01292325,0.01292325,9.47635e-08,9.47635e-08,9.47635e-08,2.2203941822052,-4.89944386565016,0.9,0.000946187713979182,0.0010884621247064
8,26.9540460360384,6.09607101854591,6.15031268373185,21.160890364636,10.6950460766183,21.0228202636339,4.39124541724479e-09,-3.60423675558281,0.8,0.00145275330210193,0.000622611830331074,0.000200772433809412,7.12806576188397e-05,0,0,0.000874029062628408,0.01292325,0.01292325,0.01292325,9.47635e-08,9.47635e-08,9.47635e-08,2.26841967105865,-4.89915783062947,0.9,0.000951010665271565,0.00110928104143459
9,33.611666223645,6.07415373437847,6.19396429383557,20.6375000020353,10.754244403016,20.4615717207483,4.57064404755847e-09,-4.13253589615993,0.8,0.00168718970690493,0.000666821008557925,0.000205540978898781,7.10602247604735e-05,0,0,0.000753763791772858,0.01292325,0.01292325,0.01292325,9.47635e-08,9.47635e-08,9.47635e-08,2.23313102722168,-4.89910241683589,0.9,0.00085367149119182,0.000907597184195429
10,38.0369228709707,6.2290484725411,6.20611269444942,20.7292106334881,10.7830712185784,20.504356795501,3.87714857306275e-09,-4.34871530430351,0.6,0.00183563585556629,0.000599852024820163,0.000202649461944333,7.27772480384236e-05,0,0,0.000735407075810955,0.01292325,0.01292325,0.01292325,9.47635e-08,9.47635e-08,9.47635e-08,2.0393740773201,-4.89928908361038,0.9,0.000850030025137741,0.000803935254400811
11,42.6327134844799,6.35103982351332,6.39888988271425,21.2705488879911,10.7502904733069,21.1250637093834,3.53173966807306e-09,-5.23897550844797,0.2,0.00143706535975662,0.000381869183881034,0.000172253902360458,6.74662945454462e-05,0,0,0.000675589978947095,0.01292325,0.01292325,0.01292325,9.47635e-08,9.47635e-08,9.47635e-08,1.89769370555878,-4.89946212581958,0.9,0.000771146537631234,0.000656119803271696
12,47.9305450144739,6.26490198857165,6.38168609356873,22.1337432240758,10.6781481390755,22.0019185460396,3.75665695889482e-09,-6.11368068326785,0.1,0.00159948460550696,0.00033552845422831,0.000159018396713596,7.39458945175085e-05,0,0,0.000645324689918224,0.01292325,0.01292325,0.01292325,9.47635e-08,9.47635e-08,9.47635e-08,1.71475962400436,-4.89956644803772,0.9,0.000782992740407853,0.000621584557744264
