"Value","Description"
1.87432320444057e-05,"water_column_detritus_mineralisation_rate"
1.28217204677184e-07,"upper_layer_water_column_nitrification_rate"
1.58912748542103e-09,"upper_layer_water_column_denitrification_rate"
0.0213921419754028,"lower_layer_water_column_nitrification_rate"
4.89649954522397e-07,"lower_layer_water_column_denitrification_rate"
0.227766270927918,"proportion_of_detritus_or_corpses_converted_to_refractory_material_max_0.5"
0.000253933214946234,"mineralisation_rate_scaling_parameter_for_refractory_detritus"
0.0257453211228797,"proportion_of_refractory_detritus_digestible_by_benthos"
0.00895829132104332,"sediment_detritus_mineralisation_rate"
-1.46085087007175e-08,"grain_size_sensitivity_for_sediment_detritus_mineralisation_rate"
5.1510871851534e-05,"sediment_nitrification_rate"
-4.42096780842618e-06,"grain_size_sensitivity_for_sediment_nitrification_rate"
0.486520681784146,"sediment_denitrification_rate"
2.05564630235167e-07,"grain_size_sensitivity_for_sediment_denitrification_rate"
0.0165087180096579,"conversion_rate_of_discards_to_corpses"
0.145195062626294,"conversion_rate_of_corpses_to_sediment_detritus"
0.0260379519132568,"conversion_rate_of_kelp_debris_to_detritus"
0.0800762390025724,"detritus_sinking_rate_in_the_upper_layers"
0.00658001661311356,"detritus_sinking_rate_in_the_lower_layer"
3.33011574676215e-05,"density_dependent_self_shading_parameter_for_kelp"
0.00326248262487327,"Wave_dependent_beach_cast_rate_for_kelp_debris"
0.873516110023926,"fitting_parameter_for_undersize_demersal_fish_function"
