"","kelp","phyt","omnivzoo","carnzoo","fishplar","fishdlar","fishp","fishm","fishd","benthslar","benthclar","benths","benthc","bird","seal","ceta"
"ammonia",0.490866249330872,0.324643531426071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nitrate",0.509133750669128,0.675356468573929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"suspdet",NA,NA,0.0150124908906844,NA,NA,NA,NA,NA,NA,0.938777244322337,0.24529340141414,0.387822168191574,NA,NA,NA,NA
"seddet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.409643228536178,NA,NA,NA,NA
"kelpdebris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0095048783236888,NA,NA,NA
"corpses",NA,NA,NA,NA,NA,NA,NA,NA,0.0166531943910924,NA,NA,NA,0.725736221170746,0,0.0512601347637816,NA
"discards",NA,NA,NA,NA,NA,NA,NA,NA,0.0110368128234527,NA,NA,NA,NA,0,0.062508287152015,0.128836440119503
"kelp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0176784615994174,NA,NA,NA
"phyt",NA,NA,0.737054644415127,NA,NA,NA,NA,NA,NA,0.0612227556776631,0.75470659858586,0.202534603272248,NA,NA,NA,NA
"omnivzoo",NA,NA,NA,0.70782308765228,0.143397443110014,0.815114886307817,0.395423380692339,0.153429655319702,NA,NA,NA,NA,NA,NA,NA,0.00818888172381966
"carnzoo",NA,NA,NA,NA,NA,NA,0.247091969448561,0.295232768718062,0.333991137125039,NA,NA,NA,NA,0.726879811739894,0,0.658678624488688
"fishplar",NA,NA,NA,0.00607053287112704,NA,NA,0.125283637472816,0.457918366079024,0.0971793425228881,NA,NA,NA,NA,NA,NA,NA
"fishdlar",NA,NA,NA,0.0362235357088032,NA,NA,0.0958521592509,0.0934192098832129,0.00552580299333124,NA,NA,NA,NA,NA,NA,NA
"fishp",NA,NA,NA,NA,NA,NA,NA,NA,0.295626760230606,NA,NA,NA,NA,0.273120188260106,0.133042490376826,0.0107179049223214
"fishm",NA,NA,NA,NA,NA,NA,NA,NA,0.0280424909737091,NA,NA,NA,NA,0,0.0448784173582672,0.160106733750177
"fishd",NA,NA,NA,NA,NA,NA,NA,NA,0.00245344920530978,NA,NA,NA,NA,0,0.70831067034911,0.033471414995491
"benthslar",NA,NA,0.0037298787684457,0.150649919214417,0.615567944476899,0.123444671785332,0.0482592921653246,0,NA,NA,NA,NA,NA,NA,NA,NA
"benthclar",NA,NA,0.244202985925743,0.0992329245533726,0.241034612413087,0.061440441906851,0.0880895609700592,0,NA,NA,NA,NA,NA,NA,NA,NA
"benths",NA,NA,NA,NA,NA,NA,NA,NA,0.177637488153236,NA,NA,NA,0.247080438906148,0,0,0
"benthc",NA,NA,NA,NA,NA,NA,NA,NA,0.0318535215813357,NA,NA,NA,NA,0,0,0
"bird",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"seal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"ceta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
