"Month","SLight","SO_LogeSPM","SI_LogeSPM","SO_temp","D_temp","SI_temp","Rivervol_SI","log10Kvert","mixLscale","D_SO_upwelling","SO_D_downwelling","SO_OceanIN","D_OceanIN","SI_OceanIN","SI_OceanOUT","SO_SI_flow","habS1_pdist","habS2_pdist","habS3_pdist","habD1_pdist","habD2_pdist","habD3_pdist","Inshore_waveheight","DO_log10Kvert","DO_mixLscale","DO_D_upwelling","D_DO_downwelling"
1,52.9338071918948,6.12607585641253,6.12180476584908,24.4984319713663,11.9609011043235,24.4566670287416,4.22791269138928e-09,-6.91119661458468,0.1,0.00141708496330767,0.000325286495028436,0.00016137100690746,8.75132225069459e-05,0,0,0.000752260492442483,0.01292325,0.01292325,0.01292325,9.47635e-08,9.47635e-08,9.47635e-08,1.671322453022,-4.91678278382293,0.9,0.000905620900211738,0.000760062219933813
2,50.6529272401379,6.08632251104176,6.09392205561508,25.3341120830721,11.8937549970294,25.23799287905,5.39534131497615e-09,-6.92106722386255,0.1,0.00153339074713761,0.000315399028420315,0.000157559490089313,8.17338678426596e-05,0,0,0.000796702075384183,0.01292325,0.01292325,0.01292325,9.47635e-08,9.47635e-08,9.47635e-08,1.69631284475327,-4.91690227107663,0.9,0.000831929581140619,0.00069656161236565
3,45.3786334863024,6.11836462923879,6.15040577676324,25.9061426915016,11.8238698278166,25.8197913842398,6.77965489695482e-09,-6.92574166486509,0.1,0.0015489792786697,0.000330674120210642,0.000164448933814876,7.12192102023962e-05,0,0,0.000754554510868233,0.01292325,0.01292325,0.01292325,9.47635e-08,9.47635e-08,9.47635e-08,1.81574636697769,-4.91699694635434,0.9,0.000832917003804385,0.000773671138793318
4,39.5816535574699,6.07498318365832,6.07263184526945,26.0636547364729,11.8109300818301,26.0743918387407,4.99102549300858e-09,-6.92844361606344,0.2,0.00143009442709986,0.000437999468556441,0.000191521039647697,7.07882910883831e-05,0,0,0.000906093871721148,0.01292325,0.01292325,0.01292325,9.47635e-08,9.47635e-08,9.47635e-08,1.95600188970566,-4.91694459271587,0.9,0.000816220601532369,0.00088889317959581
5,34.7584776247292,6.04700435727103,6.04404352465063,25.5242400560258,11.8611804149862,25.4456035151998,4.3028850996259e-09,-5.65324843966826,0.6,0.00117607245390947,0.000468842486647296,0.000208003950531389,7.64495866309918e-05,0,0,0.000938007517162086,0.01292325,0.01292325,0.01292325,9.47635e-08,9.47635e-08,9.47635e-08,1.95679607391357,-4.91686331455862,0.9,0.000843972372744156,0.000976605119982873
6,31.0046313415868,6.04502808628857,6.08744370764025,24.3400129287148,11.9568084759736,24.2108612964985,5.92550391486456e-09,-4.88352228524605,0.8,0.00114121018187187,0.000568327196038748,0.000216001773076808,6.90614751183584e-05,0,0,0.000806027189252643,0.01292325,0.01292325,0.01292325,9.47635e-08,9.47635e-08,9.47635e-08,2.21387734413147,-4.91681957629574,0.9,0.000969523443595954,0.00112892282652
7,32.0823889494265,6.05614415985416,6.06921576208563,23.0657596961566,12.0275780042602,22.9398726148972,5.25610662767302e-09,-4.39672042683217,0.8,0.00137612808430696,0.000607911607246103,0.00019705948284555,7.27736278493664e-05,0,0,0.000703651728760774,0.01292325,0.01292325,0.01292325,9.47635e-08,9.47635e-08,9.47635e-08,2.2203941822052,-4.9167968065306,0.9,0.000926511399947671,0.0010370487379058
8,37.1350238912529,6.09607101854591,6.15031268373185,22.1478709618612,12.0797079362398,21.9936014086659,4.39124541724479e-09,-4.1924081365616,0.8,0.00186236606774145,0.000782050988036018,0.000222868945201083,7.92708476876076e-05,0,0,0.000777052697439748,0.01292325,0.01292325,0.01292325,9.47635e-08,9.47635e-08,9.47635e-08,2.26841967105865,-4.91675966759396,0.9,0.000952510329780234,0.00100920178449461
9,43.0443334144342,6.07415373437847,6.19396429383557,21.7840052385486,12.1131555748257,21.5894570942313,4.57064404755847e-09,-4.43467025773587,0.8,0.00206550483821161,0.000751516525659217,0.000210327099591049,8.5976637812644e-05,0,0,0.000762419013616,0.01292325,0.01292325,0.01292325,9.47635e-08,9.47635e-08,9.47635e-08,2.23313102722168,-4.91676326306261,0.9,0.00106549712396279,0.00108997424416998
10,48.6314393992316,6.2290484725411,6.20611269444942,21.9928579552361,12.1241823582873,21.8477743757175,3.87714857306275e-09,-4.8003808450682,0.6,0.00164863697950212,0.000580411452162832,0.000208054649057314,8.52429469310894e-05,0,0,0.000771908785946463,0.01292325,0.01292325,0.01292325,9.47635e-08,9.47635e-08,9.47635e-08,2.0393740773201,-4.91680929571766,0.9,0.00103868571413328,0.00101321519965894
11,50.7681887613203,6.35103982351332,6.39888988271425,22.6616498637609,12.1044364495946,22.5123754415692,3.53173966807306e-09,-5.3584942174547,0.2,0.00152163279332344,0.00045120408999649,0.000193827367130351,8.38440205669694e-05,0,0,0.000711155876356879,0.01292325,0.01292325,0.01292325,9.47635e-08,9.47635e-08,9.47635e-08,1.89769370555878,-4.91689344094658,0.9,0.000936630289394477,0.000834355663024873
12,52.2790917568827,6.26490198857165,6.38168609356873,23.5627991918548,12.0559303856024,23.4736523559258,3.75665695889482e-09,-6.8826208882119,0.1,0.00150218934331714,0.000351341921630422,0.000176137264781558,8.76561100756603e-05,0,0,0.000692195917166005,0.01292325,0.01292325,0.01292325,9.47635e-08,9.47635e-08,9.47635e-08,1.71475962400436,-4.91701220634423,0.9,0.000877382676709085,0.000720059517374008
