"consumer","Cumax","Cddexud","Numax","Nhsat","BdeApar","ddmort","migration_coef","max_exploitable_f"
"kelp",0.0327725777446291,2.27649865875623e-08,0.00627945836840366,40.5127767838944,NA,3.18662368345546e-08,NA,0.0499824422630411
"phyt_s",NA,NA,19.4398760120788,3.01319790733711,NA,0.116704534593845,NA,NA
"phyt_d",NA,NA,NA,NA,NA,0.0756819001140992,NA,NA
"omnivzoo",NA,NA,2.07771290371449,1.52746212526563,NA,2.14066571011568e-05,NA,NA
"carnzoo",NA,NA,0.0631813858108284,0.42381974537382,NA,0.000177224984043411,NA,0.00344052074559005
"fishplar",NA,NA,0.48114354348267,2.42854004354885,NA,4.67438252922609e-06,NA,NA
"fishdlar",NA,NA,0.326172359585068,3.59928761394735,NA,5.1919608745454e-07,NA,NA
"fishp",NA,NA,0.141094188910677,2.16189488159669,NA,6.064059866655e-05,0.00105817560771517,0.556654332150901
"fishm",NA,NA,0.117646722746187,5.25017290105104,NA,1.43189788156426e-05,2.0373023326868e-05,0.601201971274649
"fishd",NA,NA,0.01606017765728,0.90014030805708,NA,2.45340885844433e-05,0.00289705551635389,0.567703203091577
"benthslar",NA,NA,0.3409673378295,0.565257458029656,NA,1.16051321829316e-05,NA,NA
"benthclar",NA,NA,1.90604501556486,1.57904619527495,NA,2.345335468231e-07,NA,NA
"benths",NA,NA,0.394116155231963,1.44071059933726,NA,9.47876715178944e-05,NA,0.0270721338809139
"benthc",NA,NA,0.0137944296333528,17.1386113323368,NA,0.000187905454081557,NA,0.160139078078224
"bird",NA,NA,0.18,0.625115613,3654.767819,0.008120442,9.95961160595194e-09,0.134762169167692
"seal",NA,NA,0.378176702,1.748097689,2515.832372,0.005167412,0.00856964930150407,0.126731902973953
"ceta",NA,NA,0.040546733,0.553634146,867.646529,0.010210268,1.43403051312417e-08,0.515619703464279
