"Value","Description"
1.70795016566564e-05,"water_column_detritus_mineralisation_rate"
1.21136307083414e-07,"upper_layer_water_column_nitrification_rate"
1.44728883436992e-09,"upper_layer_water_column_denitrification_rate"
0.0203805856066279,"lower_layer_water_column_nitrification_rate"
4.59735852488863e-07,"lower_layer_water_column_denitrification_rate"
0.247624026807705,"proportion_of_detritus_or_corpses_converted_to_refractory_material_max_0.5"
0.000280045271595891,"mineralisation_rate_scaling_parameter_for_refractory_detritus"
0.0268067143079907,"proportion_of_refractory_detritus_digestible_by_benthos"
0.00969472260602805,"sediment_detritus_mineralisation_rate"
-1.68157103335065e-08,"grain_size_sensitivity_for_sediment_detritus_mineralisation_rate"
4.42984795132045e-05,"sediment_nitrification_rate"
-3.97171900393515e-06,"grain_size_sensitivity_for_sediment_nitrification_rate"
0.514607440041214,"sediment_denitrification_rate"
1.64216968425353e-07,"grain_size_sensitivity_for_sediment_denitrification_rate"
0.0185371895889766,"conversion_rate_of_discards_to_corpses"
0.201881062968751,"conversion_rate_of_corpses_to_sediment_detritus"
0.0287617394200748,"conversion_rate_of_kelp_debris_to_detritus"
0.0653892357596046,"detritus_sinking_rate_in_the_upper_layers"
0.0078959391956338,"detritus_sinking_rate_in_the_lower_layer"
3.13798698014831e-05,"density_dependent_self_shading_parameter_for_kelp"
0.00304164557327474,"Wave_dependent_beach_cast_rate_for_kelp_debris"
0.855629624067514,"fitting_parameter_for_undersize_demersal_fish_function"
